18,1049,21,3,1,0
9,2799,36,3,1,0
12,841,23,3,1,0
12,2122,39,3,1,1
12,2171,38,1,2,1
10,2241,48,3,1,1
8,3398,39,3,2,1
6,1361,40,3,2,1
18,1098,65,3,2,0
24,3758,23,3,1,0
11,3905,36,3,1,0
30,6187,24,3,1,0
6,1957,31,3,2,0
48,7582,31,3,2,0
18,1936,23,3,1,0
6,2647,44,3,1,0
11,3939,40,3,2,0
18,3213,25,3,1,0
36,2337,36,3,2,0
11,7228,39,3,2,0
6,3676,37,3,1,0
12,3124,49,1,2,0
36,2384,33,3,1,0
12,1424,26,3,2,0
6,4716,44,3,2,0
11,4771,51,3,2,0
12,652,24,3,1,0
9,1154,37,3,2,0
15,3556,29,3,2,0
42,4796,56,3,3,0
30,3017,47,3,2,0
36,3535,37,3,2,0
36,6614,34,3,2,0
24,1376,28,3,2,0
15,1721,36,3,2,0
6,860,39,3,2,0
12,1495,38,3,2,0
12,1934,26,3,2,0
18,3378,31,3,2,0
24,3868,41,3,1,0
12,996,23,3,2,0
24,1755,58,3,2,0
18,1028,36,3,2,0
24,2825,34,3,2,0
18,1239,61,3,3,0
18,1216,23,3,1,0
24,1258,25,3,2,0
18,1864,30,3,2,0
24,1474,33,3,2,0
24,1382,26,3,2,0
12,640,49,3,2,0
36,3919,23,3,2,0
9,1224,30,3,2,0
12,2331,49,3,2,0
24,6313,41,3,2,0
12,385,58,3,2,0
12,1655,63,3,2,0
15,1053,27,3,2,1
21,3160,41,3,2,0
36,3079,36,3,2,0
12,1163,44,3,2,0
24,2679,29,3,2,0
48,3578,47,3,2,0
36,10875,45,3,2,0
12,1344,43,3,2,0
6,1237,27,3,2,0
12,3077,52,3,2,0
24,2284,28,3,2,0
12,1567,22,3,2,0
24,2032,60,3,3,0
21,2745,32,3,2,0
30,1867,58,3,2,0
36,2299,39,3,2,0
24,929,31,2,2,0
12,3399,37,3,2,0
9,2030,24,3,2,0
21,3275,36,3,2,0
24,1940,60,3,2,0
21,1602,30,3,2,0
15,1979,35,3,2,0
24,2022,37,3,2,0
36,3342,51,3,2,0
18,5866,30,3,2,0
15,2360,36,3,2,0
15,1520,63,3,2,0
12,3651,31,3,2,0
24,2346,35,3,2,0
36,4454,34,3,2,0
6,666,39,3,2,0
24,1965,42,3,1,0
12,1995,27,3,2,0
30,2991,25,3,2,0
30,4221,28,3,2,0
9,1364,59,3,2,0
18,6361,41,3,2,0
27,4526,32,2,2,0
12,3573,23,3,2,0
36,4455,30,2,2,0
9,2136,25,3,2,0
42,5954,41,1,2,0
24,3777,40,3,2,0
15,806,22,3,2,0
24,4712,34,1,2,0
36,7432,54,3,1,0
24,1851,33,3,2,0
24,1393,31,3,2,0
12,1412,29,3,2,0
18,1473,39,3,2,0
24,1533,38,2,2,0
12,2012,61,3,2,0
15,3959,29,3,2,0
6,428,49,1,2,0
12,2366,36,3,2,0
12,763,26,3,2,0
21,3976,35,3,2,0
18,6260,28,3,1,0
9,1919,35,3,1,0
24,2603,28,3,1,0
9,936,52,3,2,0
24,3062,32,3,1,0
36,4795,30,3,2,0
36,5842,35,3,2,0
6,2063,30,3,1,0
15,1459,43,3,2,0
15,1213,47,2,2,0
24,5103,47,3,3,0
15,874,24,3,2,0
6,2978,32,3,2,0
18,1820,30,3,2,0
24,2872,36,3,2,0
24,1925,26,3,2,0
18,2515,43,3,2,0
6,2116,41,3,2,0
18,1453,26,3,2,0
10,1364,64,3,2,0
6,1543,33,3,2,0
12,1318,54,3,2,0
24,2325,32,1,2,0
6,932,39,3,2,0
24,3148,31,3,2,0
36,3835,45,3,2,0
9,3832,64,3,2,0
24,5084,42,3,2,0
9,2406,31,3,2,0
36,2394,25,3,2,0
21,2476,46,3,2,0
24,2964,49,1,3,0
12,1262,49,3,2,0
